PodcastID,UserID,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
1,1,Daily,Comedy,Interview,Both,Both,Ok
2,2,Several times a week,Comedy,Interview,Both,None,Satisfied
3,3,Once a week,Sports,Interview,None,Both,Satisfied
4,4,Never,None,None,None,None,Ok
5,5,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok
6,6,Never,None,None,None,None,Ok
7,7,Never,None,None,None,None,Ok
8,8,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
9,9,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
10,10,Never,None,None,None,None,Ok
11,11,Several times a week,Lifestyle and Health,Story telling,Both,Both,Satisfied
12,12,Several times a week,Comedy,Interview,Both,Shorter,Ok
13,13,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
14,14,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
15,15,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied
16,16,Never,None,None,None,None,Very Dissatisfied
17,17,Daily,Comedy,Educational,Well known individuals,Longer,Satisfied
18,18,Never,None,None,None,None,Ok
19,19,Never,None,None,None,None,Ok
20,20,Never,None,None,None,Shorter,Ok
21,21,Never,None,None,None,None,Ok
22,22,Never,None,None,None,None,Ok
23,23,Once a week,Comedy,Story telling,Well known individuals,Shorter,Satisfied
24,24,Rarely,Comedy,Interview,Both,Shorter,Very Satisfied
25,25,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok
26,26,Never,None,None,None,None,Ok
27,27,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied
28,28,Never,None,None,None,None,Very Dissatisfied
29,29,Never,None,None,None,None,Ok
30,30,Daily,Comedy,Conversational,Both,Longer,Satisfied
31,31,Rarely,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied
32,32,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied
33,33,Never,None,None,None,None,Ok
34,34,Rarely,Comedy,Conversational,Both,Both,Ok
35,35,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
36,36,Never,None,None,None,None,Ok
37,37,Several times a week,Business,Story telling,Both,Shorter,Ok
38,38,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
39,39,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
40,40,Rarely,None,Interview,Both,Shorter,Ok
41,41,Rarely,Comedy,None,Both,Shorter,Ok
42,42,Rarely,None,Conversational,Both,Both,Ok
43,43,Once a week,Comedy,Conversational,Both,Longer,Very Satisfied
44,44,Daily,Health and Fitness,Interview,Well known individuals,Longer,Very Satisfied
45,45,Once a week,Comedy,Story telling,None,Both,Satisfied
46,46,Never,None,None,None,None,Ok
47,47,Once a week,Lifestyle and Health,Conversational,Both,Both,Ok
48,48,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied
49,49,Once a week,Comedy,None,Well known individuals,Shorter,Ok
50,50,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
51,51,Daily,Health and Fitness,Educational,Both,Shorter,Dissatisfied
52,52,Once a week,Comedy,Story telling,Both,Shorter,Ok
53,53,Never,None,None,None,None,Ok
54,54,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Very Satisfied
55,55,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
56,56,Never,None,None,None,None,Ok
57,57,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok
58,58,Once a week,Comedy,Story telling,None,None,Satisfied
59,59,Daily,Comedy,Story telling,Both,Shorter,Satisfied
60,60,Never,None,None,None,None,Satisfied
61,61,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied
62,62,Never,None,None,None,None,Ok
63,63,Rarely,Sports,Story telling,Both,Shorter,Ok
64,64,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied
65,65,Never,None,None,None,None,Ok
66,66,Never,None,None,None,None,Ok
67,67,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied
